Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR28210381,2024-03-04 04:20:49,2024-03-04 04:03:49,68859759,20657927700,68859759,300,6514,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210381/SRR28210381.lite.1,SRX23822620,HC_01metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644811,SAMN40244551,simple,408170,human gut metagenome,HC_01metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,860501E8144EEB1B99CFC56018560FF8,68D04EFD6831651D4F19FF0A90C6766B
SRR28210380,2024-03-04 04:20:49,2024-03-04 03:58:44,70740343,21222102900,70740343,300,6519,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210380/SRR28210380.lite.1,SRX23822621,HC_04metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644812,SAMN40244552,simple,408170,human gut metagenome,HC_04metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,F42533D6D396D8B93036100D767A92C7,003F062BB1AC072393B07B9CA95C1705
SRR28210369,2024-03-04 04:11:25,2024-03-04 03:54:50,66583008,19974902400,66583008,300,6140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28210/SRR28210369/SRR28210369.lite.1,SRX23822632,HC_05metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644823,SAMN40244553,simple,408170,human gut metagenome,HC_05metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,A24355E4AC8EEDCADBCB1CDEDF0BB578,87F00B215E6B8B54992517E675264520
SRR28210358,2024-03-04 03:56:18,2024-03-04 03:53:45,58530059,17559017700,58530059,300,5491,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28210/SRR28210358/SRR28210358.lite.1,SRX23822643,HC_06metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644834,SAMN40244554,simple,408170,human gut metagenome,HC_06metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,74A6F08BA1A2868F35BED381314C6B66,FE4A55D28A2C8528E8B20F1D9F1FA4E3
SRR28210347,2024-03-04 04:20:49,2024-03-04 04:00:07,71561415,21468424500,71561415,300,6627,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210347/SRR28210347.lite.1,SRX23822654,HC_07metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644845,SAMN40244555,simple,408170,human gut metagenome,HC_07metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,55F8DA52582F3DAA84F70C196F61867B,C1D00028466D6FE271765A1DA17B9D00
SRR28210346,2024-03-04 03:55:14,2024-03-04 03:50:12,33322868,9996860400,33322868,300,3332,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28210/SRR28210346/SRR28210346.lite.1,SRX23822655,HC_09metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644846,SAMN40244556,simple,408170,human gut metagenome,HC_09metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,34E1290D204BA61E4DA8D60D07C895D7,6691ECD030FC7558B2AF4E670FEE6D22
SRR28210345,2024-03-04 04:20:49,2024-03-04 03:57:20,63755706,19126711800,63755706,300,5941,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210345/SRR28210345.lite.1,SRX23822656,HC_10metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644847,SAMN40244557,simple,408170,human gut metagenome,HC_10metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,E0FA6FA1C7C647377ADC3A1347717DA2,61742855A92A43D01B46B2B7AA3D8075
SRR28210344,2024-03-04 04:11:25,2024-03-04 03:54:50,66640278,19992083400,66640278,300,6114,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR028/28210/SRR28210344/SRR28210344.lite.1,SRX23822657,HC_23metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644848,SAMN40244558,simple,408170,human gut metagenome,HC_23metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,86A913F4D5527E041B5D789C948542DB,081ED078E7CCCAAF8C75C016A76314FB
SRR28210343,2024-03-04 04:20:49,2024-03-04 03:58:53,71594557,21478367100,71594557,300,6666,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210343/SRR28210343.lite.1,SRX23822658,HC_24metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644849,SAMN40244559,simple,408170,human gut metagenome,HC_24metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,F9F4D07E3534F7BEBFC3CE2ED8D0A920,3C12FA2A78A3DFB7A65AAA26EAAFA674
SRR28210342,2024-03-04 05:32:40,2024-03-04 04:35:52,62290558,18687167400,62290558,300,5740,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR028/28210/SRR28210342/SRR28210342.lite.1,SRX23822659,HC_25metagenome,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP493094,PRJNA1083304,,1083304,SRS20644850,SAMN40244560,simple,408170,human gut metagenome,HC_25metagenome,,,,,,,no,,,,,FIRST HOSPITAL OF SHANXI MEDICAL UNIVERSITY,SRA1816546,,public,74B04455B6A6BD6D2B49A8E9210C8883,D71A8DBEF543318E267696DA19654B2C
