Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10403495,2020-11-17 00:01:20,2025-09-08 19:29:12,48319204,9663840800,48319204,200,6915,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR010/10403/SRR10403495/SRR10403495.lite.2,SRX7102911,CL100071231_L02_75,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615071,SAMN13221591,simple,408170,human gut metagenome,10PD11CL100071231_L02_75,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,B01AB26288CF954AE3FA92AAE4D7F08B,DED4A1F652D555EEF9EA9FBA11F23197
SRR10403542,2020-11-17 00:01:17,2025-09-10 07:08:40,53647500,10729500000,53647500,200,7642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403542/SRR10403542.lite.2,SRX7102864,CL100071231_L02_77,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615024,SAMN13221592,simple,408170,human gut metagenome,11PD13CL100071231_L02_77,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,BCF933D0D38282E78FD38EF168B68B35,F9374149A682D1CDDEAC351B22DEFE93
SRR10403541,2020-11-17 00:01:17,2025-09-10 07:18:40,115481796,23096359200,115481796,200,15495,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403541/SRR10403541.lite.2,SRX7102865,CL100071231_L02_78,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615025,SAMN13221593,simple,408170,human gut metagenome,12PD14CL100071231_L02_78,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,AC0C0FA7E0C569BC024241B42F236050,A9B27E96BFC1D50099AEE99001AE65DB
SRR10403540,2020-11-17 00:01:17,2025-09-10 07:09:16,52045928,10409185600,52045928,200,7318,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403540/SRR10403540.lite.2,SRX7102866,CL100071231_L02_79,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615026,SAMN13221594,simple,408170,human gut metagenome,13PD15CL100071231_L02_79,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,967D1C4F16C1BA079C3017E0039808D1,2925A79CA068D8A3BF6B57C1F3E1ED48
SRR10403539,2020-11-17 00:01:17,2025-09-10 07:11:15,52952799,10590559800,52952799,200,7537,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403539/SRR10403539.lite.2,SRX7102867,CL100071231_L02_80,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615027,SAMN13221595,simple,408170,human gut metagenome,14PD16CL100071231_L02_80,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,5023B4B8C8CA264F6A78ADA0F4B9DC30,4EC0CFEA6715C7FC00C1B909F36832AA
SRR10403538,2020-11-17 00:01:17,2025-09-10 07:17:43,93149681,18629936200,93149681,200,12820,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403538/SRR10403538.lite.2,SRX7102868,CL100071254_L01_81,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615028,SAMN13221596,simple,408170,human gut metagenome,15PD17CL100071254_L01_81,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,B9A1BD9F26A602C89B6C466138D85C28,57EDE7649F1E4479E37E24E40D2557CC
SRR10403537,2020-11-17 00:01:17,2025-09-10 07:08:58,55629494,11125898800,55629494,200,7993,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403537/SRR10403537.lite.2,SRX7102869,CL100071254_L01_84,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615029,SAMN13221597,simple,408170,human gut metagenome,16PD20CL100071254_L01_84,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,7F8C14304045EB2838476CA0D9680C9F,C8CF66CDF7AB3DB21B7DE19EB0C5DC5D
SRR10403536,2020-11-17 00:01:17,2025-09-10 07:10:10,52287811,10457562200,52287811,200,7492,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403536/SRR10403536.lite.2,SRX7102870,CL100071254_L01_85,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615030,SAMN13221598,simple,408170,human gut metagenome,17PD21CL100071254_L01_85,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,02C81803AB27332BE57035C54D2B2AA7,8AE771D23E497ABF5325969CCBBEC968
SRR10403535,2020-11-17 00:01:17,2025-09-10 07:16:04,79554252,15910850400,79554252,200,11104,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403535/SRR10403535.lite.2,SRX7102871,CL100071254_L01_86,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615031,SAMN13221599,simple,408170,human gut metagenome,18PD22CL100071254_L01_86,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,EE268674360D96FB11369208D0241A7E,1CA50AB884F1988699CEBFF55B402442
SRR10403534,2020-11-17 00:01:17,2025-09-10 07:11:50,73865370,14773074000,73865370,200,10407,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR010/10403/SRR10403534/SRR10403534.lite.2,SRX7102872,CL100071254_L01_87,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP228703,PRJNA588035,,588035,SRS5615032,SAMN13221600,simple,408170,human gut metagenome,19PD23CL100071254_L01_87,,,,,,,no,,,,,HUBEI UNIVERSITY,SRA991809,,public,531BF7ADE507D4A21198A0D688622F6D,3267D7A4C9C17354E3A4955965BCEFCA
