Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15966663,2021-09-20 02:25:14,2021-09-20 01:50:27,43832104,13149631200,43832104,300,4957,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR015/15966/SRR15966663/SRR15966663.lite.1,SRX12256158,HC_1,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231406,SAMN21380304,simple,408170,human gut metagenome,HC_1,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,3D0079D48CD8F497C3C729015A82E396,510F880B3B69C5C5D64882BA5D8623E1
SRR15966653,2021-09-20 02:25:14,2021-09-20 01:45:08,37005635,11101690500,37005635,300,4136,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15966/SRR15966653/SRR15966653.lite.1,SRX12256168,HC_10,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231416,SAMN21380313,simple,408170,human gut metagenome,HC_10,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,09C7A5473E495649E86A289F805C352D,5B4325679BEE48EF3FC72A33C1FC3AE1
SRR15966652,2021-09-20 02:21:16,2021-09-20 01:33:02,53392275,16017682500,53392275,300,6004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15966/SRR15966652/SRR15966652.lite.1,SRX12256169,HC_11,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231417,SAMN21380314,simple,408170,human gut metagenome,HC_11,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,BDB306979560E13BA3E38B5D25D5E6E2,1E58448F5C4F57367C2D41F5419C045B
SRR15966651,2021-09-20 02:20:15,2021-09-20 01:25:28,51712090,15513627000,51712090,300,5844,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15966/SRR15966651/SRR15966651.lite.1,SRX12256170,HC_12,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231418,SAMN21380315,simple,408170,human gut metagenome,HC_12,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,A937B8D2B6A44C621CC97ED17D47867A,DC0BAFA86DBC3E3D40670D4878546FF4
SRR15966650,2021-09-20 02:20:15,2021-09-20 01:40:48,54669545,16400863500,54669545,300,6312,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15966/SRR15966650/SRR15966650.lite.1,SRX12256171,HC_13,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231419,SAMN21380316,simple,408170,human gut metagenome,HC_13,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,670B29BC3CD4BE0F499E1E6250C539BC,F410595B4D594F1AF1BBF930DDAE9EC5
SRR15966649,2021-09-21 02:20:21,2021-09-20 01:33:24,44846068,10399007295,44846068,231,3673,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15966/SRR15966649/SRR15966649.lite.1,SRX12256172,HC_14,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231420,SAMN21380317,simple,408170,human gut metagenome,HC_14,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,2C6E4FC7084CB13F584F5337D3CF0183,F81301AFDC3BE13EE8B3DFD17B38DC5B
SRR15966648,2021-09-21 02:20:21,2021-09-20 01:27:38,44428029,10136931398,44428029,228,3558,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15966/SRR15966648/SRR15966648.lite.1,SRX12256173,HC_15,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10231421,SAMN21380318,simple,408170,human gut metagenome,HC_15,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1296822,,public,CDD0DABCCAA51359B5058831EA28FF34,CCFE529C09B9D349CCA311769D22A685
SRR16681849,2021-11-01 19:36:55,2021-11-01 18:31:20,39993710,11998113000,39993710,300,4210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16681/SRR16681849/SRR16681849.lite.1,SRX12882417,HC_16,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10825133,SAMN22567065,simple,408170,human gut metagenome,HC_16,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1320668,,public,331DC4D8D332073316A6D7545FEFBBC9,E917DF80F965C72A1E518E96EA08C150
SRR16681848,2021-11-01 19:36:55,2021-11-01 18:44:48,44478122,13343436600,44478122,300,4748,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR016/16681/SRR16681848/SRR16681848.lite.1,SRX12882418,HC_17,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10825134,SAMN22567066,simple,408170,human gut metagenome,HC_17,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1320668,,public,F4833A039097F79F0633AF24617262F5,3CAB1F1A61A016776C25610CB6E3AADF
SRR16681847,2021-11-01 19:36:55,2021-11-01 18:37:25,43556566,13066969800,43556566,300,4549,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16681/SRR16681847/SRR16681847.lite.1,SRX12882419,HC_18,WGS,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP337805,PRJNA762199,,762199,SRS10825135,SAMN22567067,simple,408170,human gut metagenome,HC_18,,,,,,,no,,,,,VAVILOV INSTITUTE OF GENERAL GENETICS,SRA1320668,,public,5CAC62EB77F64814566B74E8E712A0E7,5BD68364BE860672025A45325C50C577
